,Name,Young?,SpT,grav,URL
266,SIMP J2148+2239,N,T1,--,https://zenodo.org/record/58501/files/sp3_SIMP214836223943_080427.fits
267,2MASS J2148-4736,N,M5,--,https://zenodo.org/record/19060/files/J21484123-4736506.fits
268,SIMP J2150-0412,N,L1,--,https://zenodo.org/record/58501/files/C2150-0412_ind.fits
269,SIMP J2155+2345,N,L2,--,https://zenodo.org/record/58501/files/sp1_SIMP215558234531_080919.fits
270,SIMP J2157-0130,N,L7,--,https://zenodo.org/record/58501/files/C2157-0130_ind.fits
271,2MASS J2202-1109,N,M7,--,https://zenodo.org/record/19060/files/J22021125-1109461.fits
272,SIMP J2203-0301,N,M9,--,https://zenodo.org/record/58501/files/sp1_SIMP220301-030109_080917.fits
273,2MASS J2206-6116,N,L0,--,https://zenodo.org/record/19060/files/J22062157-6116284.fits
274,SIMP J2213+1255,N,M8.5,--,https://zenodo.org/record/58501/files/sp4_SIMP221305125453_090429.fits
275,SIMP J2215+2110,N,T1.5,--,https://zenodo.org/record/58501/files/sp1_SIMP221537211054_080918.fits
276,SIMP J2233-1331,N,T1.5,--,https://zenodo.org/record/58501/files/C2233-1331_ind.fits
277,SIMP J2235+0418,N,L3,--,https://zenodo.org/record/58501/files/C22350418_ind.fits
278,SIMP J2238+2304,N,M9,--,https://zenodo.org/record/58501/files/sp1_SIMP223828230404_080919.fits
279,SIMP J2239+1617,N,T3,--,https://zenodo.org/record/58501/files/C22391617_ind.fits
280,2MASS J2240+0532,N,M6,--,https://zenodo.org/record/19060/files/J224001440532162.fits
281,2MASS J2244-3045,N,M9,--,https://zenodo.org/record/19060/files/J22444905-3045535.fits
282,SIMP J2245+1722,N,L0.5,--,https://zenodo.org/record/58501/files/C22451722_ind.fits
283,SIMP J2248-0126,N,L1.5,--,https://zenodo.org/record/58501/files/sp1_SIMP224848-012653_080918.fits
284,SIMP J2250+0808,N,L3.5,--,https://zenodo.org/record/58501/files/sp1_SIMP225016080822_080918.fits
285,SIMP J2254+1640,N,L1,--,https://zenodo.org/record/58501/files/sp1_SIMP225439164038_080918.fits
286,SIMP J2255-0725,N,L1,--,https://zenodo.org/record/58501/files/C2255-0725_ind.fits
287,SIMP J2257-0140,N,L1,--,https://zenodo.org/record/58501/files/C2257-0140_ind.fits
288,SIMP J2303+3150,N,T3,--,https://zenodo.org/record/58501/files/sp1_SIMP230330315032_080917.fits
289,SIMP J2304+0749,N,M8.5,--,https://zenodo.org/record/58501/files/sp2_SIMP230426074901_060810.fits
290,SIMP J2309+1003,N,L0,--,https://zenodo.org/record/58501/files/sp2_SIMP230946100312_060810.fits
291,SIMP J2315+2235,N,M6,--,https://zenodo.org/record/58501/files/sp3_SIMP231521223541_080930.fits
292,2MASS J2315-4747,N,L3,--,https://zenodo.org/record/19060/files/J23155665-4747315.fits
293,SIMP J2318-1301,N,T5,--,https://zenodo.org/record/58501/files/C2318-1301_ind.fits
294,SIMP J2322-1407,N,L2,--,https://zenodo.org/record/58501/files/sp1_SIMP232219-140727_080918.fits
295,SIMP J2322-1407,N,L2,--,https://zenodo.org/record/58501/files/sp3_SIMP232219-140723_081114.fits
296,SIMP J2322+1300,N,L5,--,https://zenodo.org/record/58501/files/C23221300_ind.fits
297,2MASS J2327+3858,N,M5.5,--,https://zenodo.org/record/19060/files/J232708433858234.fits
298,SIMP J2327+1517,N,L3.5,--,https://zenodo.org/record/58501/files/sp1_SIMP232716151723_080919.fits
299,SIMP J2330+1006,N,L2,--,https://zenodo.org/record/58501/files/sp2_SIMP233022100560_060811.fits
300,2MASS J2331-0406,N,M8,--,https://zenodo.org/record/19060/files/J23310161-0406193.fits
301,SIMP J2332-1249,N,L0.5,--,https://zenodo.org/record/58501/files/sp1_SIMP233243-124944_080919.fits
302,SIMP J2340-0745,N,T6.5,--,https://zenodo.org/record/58501/files/sp1_SIMP234027-074505_080917.fits
303,SIMP J2344+0909,N,L1.5,--,https://zenodo.org/record/58501/files/sp2_SIMP234443090901_060810.fits
304,SIMP J2351+3010,N,L5.5,--,https://zenodo.org/record/58501/files/sp1_SIMP235122301048_080918.fits
305,2MASS J0002+0408 A,...,M3,--,https://zenodo.org/record/19060/files/J000203820408129_A.fits
306,2MASS J0002+0408 B,...,M3,--,https://zenodo.org/record/19060/files/J000203820408129_B.fits
307,2MASS J0017-3219,...,M4,--,https://zenodo.org/record/19060/files/J00171571-3219539.fits
308,2MASS J0017-0316,...,M7,beta,https://zenodo.org/record/19060/files/J00174858-0316334.fits
309,2MASS J0039+1330 A,...,M4,--,https://zenodo.org/record/19060/files/J003903421330170_A.fits
310,2MASS J0039+1330 B,...,M5,--,https://zenodo.org/record/19060/files/J003903421330170_B.fits
311,2MASS J0103-2805 A,...,M4,--,https://zenodo.org/record/19060/files/J01035369-2805518_A.fits
312,2MASS J0103-2805 B,...,M4,--,https://zenodo.org/record/19060/files/J01035369-2805518_B.fits
313,2MASS J0313-2447,...,M5.5,--,https://zenodo.org/record/19060/files/J03132588-2447246.fits
314,2MASS J0344+0716 A,...,M4,--,https://zenodo.org/record/19060/files/J034428590716100_A.fits
315,2MASS J0344+0716 B,...,M4.5,--,https://zenodo.org/record/19060/files/J034428590716100_B.fits
316,2MASS J0404+2616 A,...,M0,--,https://zenodo.org/record/19060/files/J040440522616275_A.fits
317,2MASS J0404+2616 B,...,M0,--,https://zenodo.org/record/19060/files/J040440522616275_B.fits
318,2MASS J0417-1140,...,M2,--,https://zenodo.org/record/19060/files/J04173836-1140256.fits
319,2MASS J0423-1533,...,M4,--,https://zenodo.org/record/19060/files/J04231498-1533245.fits
320,2MASS J0428+1839,...,M3,--,https://zenodo.org/record/19060/files/J042810611839021.fits
321,2MASS J0520+0511,...,K0,--,https://zenodo.org/record/19060/files/J052017940511521.fits
322,2MASS J0527+0007 A,...,M0,--,https://zenodo.org/record/19060/files/J052716760007526_A.fits
323,2MASS J0527+0007 B,...,M3,--,https://zenodo.org/record/19060/files/J052716760007526_B.fits
324,2MASS J0537-0623,...,M0,--,https://zenodo.org/record/19060/files/J05370704-0623170.fits
325,2MASS J0540-0923,...,M0,--,https://zenodo.org/record/19060/files/J05404919-0923192.fits
326,2MASS J0541-0737,...,M0,--,https://zenodo.org/record/19060/files/J05410983-0737392.fits
327,2MASS J0541-0217,...,M0,--,https://zenodo.org/record/19060/files/J05415929-0217020.fits
328,2MASS J0545-0121,...,M0,--,https://zenodo.org/record/19060/files/J05451198-0121021.fits
329,2MASS J0548-2942,...,M4,--,https://zenodo.org/record/19060/files/J05484454-2942551.fits
330,SIMP J0552+0210,N, M0,--,https://zenodo.org/record/58501/files/sp2_SIMP055224021059_070324.fits
331,2MASS J0602-1413,...,K0,--,https://zenodo.org/record/19060/files/J06021735-1413467.fits
332,2MASS J0758+15300,...,M4,--,https://zenodo.org/record/19060/files/J075830461530004.fits
333,2MASS J0758+15301 A,...,M4.5,--,https://zenodo.org/record/19060/files/J075830981530146_A.fits
334,2MASS J0758+15301 B,...,M4.5,--,https://zenodo.org/record/19060/files/J075830981530146_B.fits
335,2MASS J0804-6346,...,M2,--,https://zenodo.org/record/19060/files/J08045433-6346180.fits
336,2MASS J0819-7401,...,M4.5,--,https://zenodo.org/record/19060/files/J08194309-7401232.fits
337,2MASS J0825+0340,...,M3,--,https://zenodo.org/record/19060/files/J082558960340198.fits
338,2MASS J0854-3051,...,M4,--,https://zenodo.org/record/19060/files/J08540240-3051366.fits
339,2MASS J0910-7552,...,K0,--,https://zenodo.org/record/19060/files/J09104094-7552528.fits
340,2MASS J0951+3558,...,M5,--,https://zenodo.org/record/19060/files/J095104593558098.fits
341,2MASS J1101-7735,...,M5,--,https://zenodo.org/record/19060/files/J11014673-7735144.fits
342,2MASS J1119-3917,...,M3,--,https://zenodo.org/record/19060/files/J11195251-3917150.fits
343,2MASS J1153-3015,...,M4.5,--,https://zenodo.org/record/19060/files/J11532691-3015414.fits
344,2MASS J1156-4043,...,M5,--,https://zenodo.org/record/19060/files/J11560224-4043248.fits
345,2MASS J1200-3405,...,M4,--,https://zenodo.org/record/19060/files/J12002750-3405371.fits
346,2MASS J1249-2035,...,M2,--,https://zenodo.org/record/19060/files/J12492353-2035592.fits
347,2MASS J1325+0600,...,M0,--,https://zenodo.org/record/19060/files/J132522370600290.fits
348,2MASS J1542-3358,...,K0,--,https://zenodo.org/record/19060/files/J15424676-3358082.fits
349,2MASS J1621-2346,...,M5,--,https://zenodo.org/record/19060/files/J16210134-2346554.fits
350,2MASS J1621-2346,...,M5,--,https://zenodo.org/record/19060/files/J16210134-2346554.fits
351,2MASS J1622-2346,...,M5,--,https://zenodo.org/record/19060/files/J16221255-2346418.fits
352,2MASS J1623-2353,...,M5,beta,https://zenodo.org/record/19060/files/J16232017-2353248.fits
353,2MASS J1625-2358,...,M0,--,https://zenodo.org/record/19060/files/J16251377-2358021.fits
354,2MASS J1627-2411,...,M0,--,https://zenodo.org/record/19060/files/J16272178-2411060.fits
355,2MASS J1633-2425,...,M5,--,https://zenodo.org/record/19060/files/J16330142-2425083.fits
356,2MASS J1642-1942,...,M5,--,https://zenodo.org/record/19060/files/J16422788-1942350.fits
357,2MASS J1846+5246 A,...,K0,--,https://zenodo.org/record/19060/files/J184604735246027_A.fits
358,2MASS J1846+5246 B,...,K0,--,https://zenodo.org/record/19060/files/J184604735246027_B.fits
359,2MASS J1903-3723,...,M0,--,https://zenodo.org/record/19060/files/J19033113-3723302.fits
360,2MASS J1948+5944 A,...,M4,--,https://zenodo.org/record/19060/files/J194805445944412_A.fits
361,2MASS J1948+5944 B,...,M4.5,--,https://zenodo.org/record/19060/files/J194805445944412_B.fits
362,2MASS J2134-1840,...,M3,--,https://zenodo.org/record/19060/files/J21342814-1840298.fits
363,2MASS J2149-6413,...,M4.5,--,https://zenodo.org/record/19060/files/J21490499-6413039.fits
364,2MASS J2257-5041,...,M5,--,https://zenodo.org/record/19060/files/J22573768-5041516.fits
365,2MASS J2310-0748,...,M5,--,https://zenodo.org/record/19060/files/J23102196-0748531.fits
366,2MASS J2329+0329,...,M5.5,--,https://zenodo.org/record/19060/files/J232904370329113.fits
